case_001.txt | 7756 kata | integritas 97% | OK
case_002.txt | 10800 kata | integritas 97% | OK
case_003.txt | 8739 kata | integritas 97% | OK
case_004.txt | 9268 kata | integritas 97% | OK
case_005.txt | 13610 kata | integritas 97% | OK
case_006.txt | 9344 kata | integritas 98% | OK
case_007.txt | 10689 kata | integritas 98% | OK
case_008.txt | 21947 kata | integritas 98% | OK
case_009.txt | 6666 kata | integritas 97% | OK
case_010.txt | 14542 kata | integritas 97% | OK
case_011.txt | 12616 kata | integritas 98% | OK
case_012.txt | 6803 kata | integritas 97% | OK
case_013.txt | 9291 kata | integritas 97% | OK
case_014.txt | 16467 kata | integritas 97% | OK
case_015.txt | 15842 kata | integritas 98% | OK
case_016.txt | 12832 kata | integritas 98% | OK
case_017.txt | 6636 kata | integritas 97% | OK
case_018.txt | 8585 kata | integritas 97% | OK
case_019.txt | 20759 kata | integritas 97% | OK
case_020.txt | 8793 kata | integritas 97% | OK
case_021.txt | 7580 kata | integritas 97% | OK
case_022.txt | 6536 kata | integritas 98% | OK
case_023.txt | 13069 kata | integritas 97% | OK
case_024.txt | 12367 kata | integritas 97% | OK
case_025.txt | 6867 kata | integritas 97% | OK
case_026.txt | 9411 kata | integritas 97% | OK
case_027.txt | 6922 kata | integritas 97% | OK
case_028.txt | 10338 kata | integritas 98% | OK
case_029.txt | 7322 kata | integritas 98% | OK
case_030.txt | 18039 kata | integritas 97% | OK
case_031.txt | 8794 kata | integritas 98% | OK
case_032.txt | 13648 kata | integritas 97% | OK
case_033.txt | 18899 kata | integritas 98% | OK
case_034.txt | 11914 kata | integritas 97% | OK
case_035.txt | 14037 kata | integritas 97% | OK
case_036.txt | 11220 kata | integritas 97% | OK
case_037.txt | 12959 kata | integritas 97% | OK
case_038.txt | 11626 kata | integritas 97% | OK
case_039.txt | 11228 kata | integritas 98% | OK
case_040.txt | 9867 kata | integritas 97% | OK
